Assessment_Date,Address,Building_Alarm_System,Building_Sprinklered,Fire_Extinguishers,LatLong,Latitude,Longitude
2024-01-15,150 Dunlop St,Yes,Yes,Yes,"(44.31975909310345, -78.31121053103449)",44.31975909310345,-78.31121053103449
2024-01-15,130 Dunlop st E,No,No,No,"(44.3894786, -79.6852409)",44.3894786,-79.6852409
2024-01-15,150 Dunlop east ,Yes,Yes,Yes,"(44.38950167142857, -79.6838389)",44.38950167142857,-79.6838389
2024-01-15,42 Maple,No,No,Yes,"(53.1669096, -1.060602977266558)",53.1669096,-1.060602977266558
2024-01-16,20 Lennox,No,No,Yes,"(42.090308050000004, -75.9468878257866)",42.090308050000004,-75.9468878257866
2024-01-16,16 Lennox ,Yes,No,Yes,"(42.09006885, -75.94630997883053)",42.09006885,-75.94630997883053
2024-01-16,10 Lennox ,No,No,Yes,"(42.0897911, -75.9453505145977)",42.0897911,-75.9453505145977
2024-01-16,132 Commerce Park,No,No,No,"(41.686789881945664, -70.01571346217631)",41.686789881945664,-70.01571346217631
2024-01-16,360 Bayfield st,No,No,Yes,"(44.4047789, -79.7037795)",44.4047789,-79.7037795
2024-01-15,359 Huronia rd,No,No,Yes,"(44.354637499999995, -79.66496208044217)",44.354637499999995,-79.66496208044217
2024-01-17,4 Fairview Road,No,No,Yes,"(-33.71487645, 150.4316980833883)",-33.71487645,150.4316980833883
2024-01-17,20 Dunlop st east,Yes,No,Yes,"(44.389384795454546, -79.68921143636364)",44.389384795454546,-79.68921143636364
2024-01-17,39 Dunlop st e,Yes,No,Yes,"(44.38916145517241, -79.68896826206897)",44.38916145517241,-79.68896826206897
2024-01-17,353 Anne st n,No,Yes,Yes,"(44.4025393, -79.7215537)",44.4025393,-79.7215537
2024-01-18,55 Mary st,No,No,Yes,"(42.4027951, -82.1954334)",42.4027951,-82.1954334
2024-01-18,83 mary st,No,No,No,"(42.0863936, -75.9112273)",42.0863936,-75.9112273
2024-01-18,80 Bayfield ,No,No,Yes,"(13.162722500000001, -59.44547700880169)",13.162722500000001,-59.44547700880169
2024-01-18,110 Saunders ,No,Yes,Yes,"(43.5608917, -73.4081541)",43.5608917,-73.4081541
