ID,Assessment Date,Address,Unit # (if applicable),Is there a fire alarm system in this building serving more than one unit? (Does the smoke detector in 1 unit set off the entire building's fire alarm system),Is the building sprinklered?,Are there fire extinguishers in the building?,Is there a fire alarm system in this building?,Is the building sprinklered?2,Are there fire extinguishers in the building?2
531,13/05/2024,150 park place,Milestones ,,,,Yes,No,Yes
532,13/05/2024,130 Bayview dr,Spoon and fork,,,,Yes,No,Yes
533,13/05/2024,140 parkplace blvd,Lonestar,,,,Yes,No,Yes
534,15/05/2024,45 Bradford street ,Na,,,,No,No,Yes
535,16/05/2024,112 Commerce Park,I,,,,,,
536,29/05/2024,110 Saunders ,18,,,,No,Yes,Yes
537,22/05/2024,505 Bryne,Toppers,,,,,,
538,23/05/2024,505 Bryne,Bryne Cleaners,,,,,,
539,24/05/2024,505 Bryne,D,,,,,,
540,23/05/2024,375 Mapleview W,NA,,,,,,
